,타이틀,링크,회사명,태그,설명,태그1,태그2,태그3,태그4,태그5,태그6,태그7
0,엔씨소프트 부문별 수시 채용,/Recruit/GI_Read/42971712?rPageCode=PL&logpath=21,㈜엔씨소프트,"['신입·경력', '학력무관', '경기성남시', '정규직']","게임소프트웨어, 데이터관리, 사이트관리, 콘솔게임, 모션그래픽, 테스터, 아케이드게임, 애니메이션, RPG, 게임디자인, 게임시나리오, 서버구축, PM, 방화벽, 게임기획, 게임운영관리, 네트워크관리, 모델링, 증강현실, 게임기획, 웹게임, Java게임, MMORPG, 게임개발, 베타테스터, 원화디자인, 원화디자인, 정보보안, 3D온라인게임, 시나리오작가, 서버관리, 검증, 아바타디자인, 퍼블리싱, 모션그래픽",신입·경력,학력무관,경기성남시,정규직,,,
1,2023년 하반기 각 부문 신입/경력 상시 채용,/Recruit/GI_Read/42971591?rPageCode=PL&logpath=21,㈜코난테크놀로지,"['신입·경력', '대졸↑', '서울서초구', '정규직']","네트워크관리, BigData, GUI, 빅데이터, OLAP개발자, 데이터관리, SI개발, 솔루션영업, 펌웨어, 데이터레이크, 인터페이스, 데이터분석, 음성인식, SI개발, 솔루션, 테스터, DBMS, 시스템영업, 웹마스터, 딥러닝, 데이터시각화, 암호화폐, ETL, 서버구축, 시스템분석, 시스템운영, 제안·컨설팅, 서버관리, 인공지능, 챗봇, 기술영업, 시스템운영, BI, 모델링, 방화벽, 시스템분석, 정보보안, 앱기획, 이미지프로세싱, SI개발, UI·UX기획, 네트워크관리, 웹사이트구축영업, 자연어처리(NLP), 클라이언트, 콘텐츠기획, SI개발, 보안관제, 시스템설계, 증강현실, 데이터분석, 인터페이스, 솔루션스아키텍트, 거래처관리, 클라우드개발자, 분석모델링, 네트워크관리, 정보보안, 데이터마이닝, 아키텍처, 챗봇, 서버구축, 시스템설계, 반응형웹, 핀테크, DW모델러, 기술지원, 네트워크영업, 서비스기획, 서버관리, 암호화폐, 음성인식, 클라우드아키텍트, 클라이언트, 검증, 네트워크관리, 소프트웨어개발, 가상현실, 핀테크, HTTP, 데이터파이프라인, 국내영업, 모델링, DB튜닝, 메타버스",신입·경력,대졸↑,서울서초구,정규직,,,
2,2023년 하반기 부문별 채용공고,/Recruit/GI_Read/42970506?rPageCode=PL&logpath=21,㈜시몬스,"['신입·경력1년↑', '경기이천시외', '정규직외']","고객관리, 관리회계, 창고관리, 건축설계, A·S수리, 재고관리, 건축시공, 물류센터, 소방·방재, 브랜딩, 회계감사, 3D설계, 가구디자인, 리테일MD, 배차, 상품입출고, 설치, 재고관리, 네트워크관리, 바이럴마케팅, VMD, 결산, 매출관리, 산업안전, 상품기획, 현장감리, 면접·채용, 판매관리, 납품기사, 브랜드기획, 가구판매, 프로모션, 가구, 보세운송, 상품입출고, 외자구매, 자재구매, 2D설계, 서버관리, 시장분석, 전시디자인, 환경관리, 원가회계, 전산회계",신입·경력1년↑,경기이천시외,정규직외,,,,
3,금융 application architect,/Recruit/GI_Read/42976135?rPageCode=PL&logpath=21,메타넷디지털㈜,"['경력10년↑', '학력무관', '경기수원시', '정규직']","아키텍처, AA",경력10년↑,학력무관,경기수원시,정규직,,,
4,ATS Cloud/Infra DB 엔지니어,/Recruit/GI_Read/42969918?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시', '정규직']","네트워크관리, 클라우드개발자",경력3년↑,학력무관,경기성남시,정규직,,,
5,[엠포스] 백엔드 개발자 경력직 채용,/Recruit/GI_Read/42977964?rPageCode=PL&logpath=21,(주)엠포스,"['경력3년↑', '초대졸↑', '서울서초구', '정규직', '팀원']","온라인광고, 광고기획, 광고제작, 광고대행",경력3년↑,초대졸↑,서울서초구,정규직,팀원,,
6,ATS Network/VMware 엔지니어,/Recruit/GI_Read/42969941?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시외', '정규직']",서버구축,경력3년↑,학력무관,경기성남시외,정규직,,,
7,ATS VDI 구축/운영,/Recruit/GI_Read/42969900?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시외', '정규직']","서버구축, 서버관리",경력3년↑,학력무관,경기성남시외,정규직,,,
8,ATS Oracle DB 운영,/Recruit/GI_Read/42969930?rPageCode=PL&logpath=21,SK㈜,"['경력3년↑', '학력무관', '경기성남시외', '정규직']",DBMS,경력3년↑,학력무관,경기성남시외,정규직,,,
9,2023년 10월 경력채용 (IT개발/대관/정보보안/소비자보호),/Recruit/GI_Read/42975487?rPageCode=PL&logpath=21,㈜우리홈쇼핑,"['경력1년↑', '학력무관', '서울영등포구', '정규직']","유통, 판매, 홈쇼핑, 시장분석, SNS마케팅, 고객관리, 매출관리, 프로모션, IMC, 디지털마케팅, 언론홍보, 오프라인마케팅, 이벤트기획, 서버관리, 클라이언트, SI개발, 시스템분석, 시스템설계, 펌웨어, 서버관리, 네트워크관리, 정보보안, 시스템분석, 시스템설계, SI개발, 고객지원, 고객경험관리, 고객응대, 고객안내, 정보통신·IT",경력1년↑,학력무관,서울영등포구,정규직,,,
10,NICE정보통신 수시 인재영입,/Recruit/GI_Read/42972983?rPageCode=PL&logpath=21,NICE정보통신㈜,"['신입·경력', '학력무관', '서울영등포구', '정규직외']","관리회계, ERP운용, 빅데이터, 데이터관리, 데이터레이크, 부가세신고, 계산서발행, 영업기획, 세무신고, ETL, 세무조정, 영업전략, 네트웍구축, 재무회계, BI, 모델링, 기업회계, 계산서발행, 결산, 매출관리, 부가세신고, POS, 데이터분석, 시장분석, 전표입력, 데이터분석, 전략기획, 통신, 데이터마이닝, 전표입력, DW모델러, 결산, 데이터파이프라인, 원가회계, 전산회계",신입·경력,학력무관,서울영등포구,정규직외,,,
11,(주)웅진 23년 하반기 채용연계형 신입인턴 채용(모집부문: AWS SA),/Recruit/GI_Read/42972442?rPageCode=PL&logpath=21,㈜웅진,"['신입', '학력무관', '서울중구', '인턴', '사원급']","네트워크관리, 서버구축, 시스템운영, 시스템운영, 시스템분석, 네트워크관리, 시스템설계, 솔루션스아키텍트, 클라우드개발자, 서버구축, 서버관리, 클라우드아키텍트",신입,학력무관,서울중구,인턴,사원급,,
12,2023년 시스템 운영센터 IT경력(정규직) 채용,/Recruit/GI_Read/42968236?rPageCode=PL&logpath=21,DB손해보험㈜,"['경력3년↑', '대졸↑', '서울강남구외', '정규직']","빅데이터, SI개발, 손해보험, 펌웨어, 데이터레이크, 서버구축, 시스템분석, 시스템운영, 시스템분석, SI개발, 시스템설계, 시스템설계, 서버관리",경력3년↑,대졸↑,서울강남구외,정규직,,,
13,[DB손해보험] 2023년 하반기 대졸 신입사원 모집,/Recruit/GI_Read/42967941?rPageCode=PL&logpath=21,DB손해보험㈜,"['신입', '대졸↑', '서울강남구외', '정규직']","고객관리, 관리회계, 빅데이터, SI개발, 손해보험, 재무회계, 펌웨어, 데이터레이크, 보험사고, 시장조사, R, 자산운용, 영업기획, Python, 위험분석·관리, CISA, IT기획, 투자 리스크관리, 데이터시각화, 자금관리, 자산RM, CISSP, 서버구축, 시스템분석, 시스템운영, 영업전략, 재무분석, 가맹점관리, 재무회계, 방화벽, 시스템분석, 결산, 재무기획, 투자상담·자문, 손해평가, SI개발, 결산, 매출관리, 보안관제, 시스템설계, 데이터분석, 정보보안기사, 보험회사 리스크관리, 대리점관리, 데이터분석, 분석모델링, 전략기획, ADP/ADsP, 네트워크관리, 정보보안, 투자상담·자문, 세무조정, 투자지원, 시스템설계, 투자심사, 언더라이팅, 위험분석·관리, 보험청구, 자산운용, 핀테크, 법인결산, 서버관리, 암호화폐, CPPG, 네트워크관리, 보상, 시장분석, 원가회계, 손해평가",신입,대졸↑,서울강남구외,정규직,,,
14,2023년 제4차 정규직 공개채용 안내,/Recruit/GI_Read/42969261?rPageCode=PL&logpath=21,한국기초과학지원연구원,"['신입·경력', '학력무관', '대전유성구외', '정규직']","임원비서, 전산입력, 연구소, 회로설계, 나노, 연구·실험·기술, 행정, 펌웨어, 재료, 송무담당, 경영·경제연구, 문서작성, 신사업기획, 의료기기연구, 시스템분석, 임베디드, 전기·전자, 데이터분석, 인공지능, 화학·섬유, 사업기획, 원자력, 기계조작, 경영기획, 문서작성, 생명공학, 수행비서, 연구원, 전기설계, R&D, 송무비서, 생명공학, 언론홍보, 전기설비, 제품개발, 데이터분석, 전략기획, 물리, 기업홍보, 분석모델링, 전기배선, 서무, 연구기획, 문서관리, 생명공학, 시스템설계, 제약·바이오R&D, 경영기획, 경영컨설팅, 기술지원, 조사분석, 경영기획, 생산기술, 기계조작",신입·경력,학력무관,대전유성구외,정규직,,,
15,시스템 운영관리직 경력사원 모집,/Recruit/GI_Read/42975414?rPageCode=PL&logpath=21,브리지텍,"['경력1년↑', '학력무관', '서울강서구', '정규직', '사원급외']",시스템운영,경력1년↑,학력무관,서울강서구,정규직,사원급외,,
16,[주4.5일근무] JAVA 개발 팀장 채용,/Recruit/GI_Read/42968491?rPageCode=PL&logpath=21,㈜인라이플,"['경력8년↑', '학력무관', '서울구로구외', '정규직']","모바일앱개발, BigData, SI개발, SI, 서버관리, 정보보안, 클라이언트, SI개발, ERP, 아키텍처, 시스템설계, 클라이언트, 핀테크, 소프트웨어개발, HTTP",경력8년↑,학력무관,서울구로구외,정규직,,,
17,"[앤씨앤/넥스트칩]2023년 10월 연구소, 영업마케팅 각 부문 신입/경력 모집",/Recruit/GI_Read/42975603?rPageCode=PL&logpath=21,㈜앤씨앤,"['신입·경력', '학력무관', '경기성남시', '정규직']","자동제어, 전기, 전기공사, 전기기사, 전기회로, 전자, 전자계산, 전자회로, 데이터분석, 브랜드기획, 전략기획, 콘텐츠기획, GUI, 반응형웹, SI개발, 시스템설계, 클라이언트, SI개발, 딥러닝, 인공지능, 클라우드개발자",신입·경력,학력무관,경기성남시,정규직,,,
18,각 부문별 경력직 사원모집,/Recruit/GI_Read/42886924?rPageCode=PL&logpath=21,㈜선일다이파스,"['경력2년↑', '고졸↑', '충북진천군', '정규직']","자동차부품, 전기기사, AutoCad, CAD, ERP, POP, 개발 프로젝트 관리, 금속공학, 기계공학, 산업공학, 설비투자, 연구개발, 유틸리티 설비, 자동차부품 영업, 전기수리, 전기안전관리자, 전기공학, 전산학, 전자공학, 정보기획, 파워빌더, IT 시스템 관리, MES, VB, 현장공정 표준화, 기계, 메카트로닉스, CAD, 금속, 금속가공, 금형, 경영기획, 사업기획, 전략기획, 원가회계, 국내영업, 자동차영업, 바이어개발, 수출입계약, 영어, 해외마케팅, 기술영업, 고객관리, 메카트로닉스, 생산기술, 자동차, 캐드원, 3D설계, 금형설계, 회로설계, 2D설계, 유지보수, 정보통신, 자동차, 전기·전자, 정보통신·IT, R&D, 연구·실험·기술, 제조·공정, 금속, 설비, 절곡, 품질보증, 전기설비",경력2년↑,고졸↑,충북진천군,정규직,,,
19,[키글]에서 함께할 직원을 채용합니다.,/Recruit/GI_Read/42975786?rPageCode=PL&logpath=21,키글,"['신입·경력', '학력무관', '서울서초구', '정규직']","2D디자인, SI개발, 만화디자인, 모바일앱게임, 증강현실, 펌웨어, 인터페이스, 방송기획, 데이터분석, 영상제작, 모션그래픽, 인사교육, Unity, 경력관리, 방송기획, 애니메이션, Sign디자인, 브랜드기획, 신사업기획, 서버구축, 시스템운영, 애니메이션, 제안·컨설팅, 캐릭터, 데이터분석, 영상제작, 챗봇, 방송제작, 삽화·일러스트, 2D디자인, 사업기획, 시스템분석, 가상현실, 앱기획, 클라이언트, SI개발, 영상제작, 콘텐츠기획, 2D디자인, 모델링, 애니메이션, 증강현실, 면접·채용, 평가·보상, 전략기획, 게임기획, 교육기획, 스토리보드, MMORPG, 영상제작, 메타버스, 급여관리, 디지털디자인, 방송제작, 원화디자인, 원화디자인, 플래쉬애니메이션, 인사행정, SNS마케팅, 2D디자인, 인사기획, 서버관리, 콘텐츠기획, 삽화·일러스트, 네트워크관리, 모션그래픽, 아바타디자인, 인코딩, 가상현실, 복리후생, 유튜브, 인사교육, 핀테크, 노사관리, 메타버스",신입·경력,학력무관,서울서초구,정규직,,,
20,2024년  CoAsia 반도체부문 신입/경력 엔지니어 공개채용,/Recruit/GI_Read/42968892?rPageCode=PL&logpath=21,코아시아,"['신입·경력', '대졸↑', '경기화성시외', '정규직외', '', '4,000만원이상', '사원급외']","FPGA, SoC, 프로토콜, ACE, ARM, AXI, Backend, CDC, code, CPU, DFT, frontend, DV, GPU, Integrity, NPU, NOC, RTL, shell, SDC, TCI, Synthesis, STA, Verilog, UVM, Verification, block, Coverage, sdc Clean UP, UPF Clock, Test Vector, auto place route, LPDDR5, 소프트웨어개발, 솔루션, 반도체, 회로설계, ASIC, SoC, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 네트워크관리, 서버구축, 시스템분석, 시스템설계, 네트워크관리, 서버구축, 시스템운영, 시스템분석, 시스템설계, 정보보안, 클라이언트, SI개발, 검증, 시스템분석, 시스템설계, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, 웹마스터, GUI, 반응형웹, 웹표준·웹접근성, 3D설계, 회로설계, 생산기술, 정보통신, 제품개발, 회로설계, 제어·설계, 공정개발, 품질테스트, 전기·전자, 정보통신·IT, 제품개발, R&D, 반도체·LCD",신입·경력,대졸↑,경기화성시외,정규직외,,"4,000만원이상",사원급외
21,2023년 유진로지스틱스/유진소닉 각 부문별 신입/경력사원 모집,/Recruit/GI_Read/42969365?rPageCode=PL&logpath=21,유진로지스틱스,"['신입·경력', '고졸↑', '서울용산구외', '정규직']","고객관리, 물류센터, 상품입출고, 거래처관리, 펌웨어, 육상운송, 영업기획, 재고관리, 물류센터, 배송, 신사업기획, 납품, 시스템운영, 운송, 서버관리, 구매계약, 바이어개발, 배차, 사업기획, 상품입출고, 시스템분석, 거래선개발관리, 시스템설계, 면접·채용, 평가·보상, 인터페이스, 전략기획, 거래처관리, 자재구매, 급여관리, 인사행정, 납품영업, 외주관리, 인사기획, 자재구매, 반응형웹, nexacro, Java, 경영기획, 인사교육, 국내영업, 물류, ERP운용",신입·경력,고졸↑,서울용산구외,정규직,,,
22,2023년 하반기 각 부문 신입/경력사원 모집,/Recruit/GI_Read/42976323?rPageCode=PL&logpath=21,한국생활건강,"['신입·경력', '학력무관', '경기안성시외', '정규직']","부가세신고, 창고관리, 행정, UI·UX기획, 더존, 식품MD, 품질보증, 영상제작, SNS마케팅, 퍼포먼스마케터, 비품관리, 웹디자인, 재고관리, 검증, 물류센터, 신사업기획, 건강식품, 변호사, 브랜딩, 중국어, 카페·블로그관리, 리테일MD, 설비, 재무회계, 홈쇼핑, HACCP, 고객지원, 사업기획, 상품입출고, 영어, 식품영업, 조직문화, 결산, 법무사, 산업안전, 상품기획, 쇼핑몰, 면접·채용, 평가·보상, 자재구매, 패키지디자인, 인사행정, QC, SNS마케팅, 납품영업, 상품입출고, 인사기획, 자재구매, 인쇄·출력, AMD, 맥디자인, 자산관리, 콘텐츠기획, 소송·민사·등기, 시장분석, 패키지디자인, 포장, 가맹영업, 국내영업, 노사관리, 전산회계, ERP운용",신입·경력,학력무관,경기안성시외,정규직,,,
23,태재대학교 각 부문별 채용,/Recruit/GI_Read/42976383?rPageCode=PL&logpath=21,태재대학교,"['신입·경력', '학력무관', '서울종로구외', '계약직']","CG, 복리후생, 행정, 부가세신고, 영상제작, 비품관리, 직업전문학교, 세무신고, 신사업기획, 데이터분석, 세무조정, 영상제작, 대학(교)교직원, 시스템운영, 모션그래픽, 사업기획, 교직원, 네트워크관리, 2D디자인, 대학교, 문화기획, 연구기획, SNS마케팅, 자산관리, 콘텐츠기획, 경영기획, 문서관리, 서무, 연말정산, 애니메이션",신입·경력,학력무관,서울종로구외,계약직,,,
24,[대동애그테크] 23년 각 부문 경력사원 채용,/Recruit/GI_Read/42973042?rPageCode=PL&logpath=21,㈜대동애그테크,"['경력', '대졸↑', '서울서초구외', '정규직']","GUI, 빅데이터, SI개발, 펌웨어, 데이터레이크, 검증, 임베디드, 데이터분석, 회로설계, 시스템설계, 회로설계, 데이터시각화, ETL, SLAM, 서버구축, 시스템분석, 시스템운영, 제안·컨설팅, PCB, PM, 서버관리, 시스템운영, 하드웨어, BI, 시스템분석, 정보보안, 펌웨어, 앱기획, UI·UX기획, 네트워크관리, 콘텐츠기획, 시스템분석, 시스템설계, 증강현실, 데이터분석, 인터페이스, 스토리보드, 펌웨어, 분석모델링, IOS, 서버구축, 시스템설계, 반응형웹, 서비스기획, 컴퓨터, 서버관리, 클라이언트, 핀테크, 네트워크관리, 가상현실, 핀테크, HTTP, 데이터파이프라인, FCM",경력,대졸↑,서울서초구외,정규직,,,
25,"JW그룹 2023년 3차 신입/경력 대졸 정규직 정기채용 [영업/마케팅, R&D, 관리, 약사]",/Recruit/GI_Read/42963178?rPageCode=PL&logpath=21,JW홀딩스㈜,"['신입·경력1년↑', '대졸↑', '경기', '정규직']","관리회계, 부가세신고, 제약영업, 기업홍보, 재무회계, 저작권, 복리후생, 행정, 행정, 의료기기영업, 품질보증, 데이터분석, 미생물, SI개발, A·S수리, 기술지원, 비품관리, 영업기획, 제약영업, 건강식품연구, 송무담당, 문서관리, 지적재산권, 해외마케팅, 신사업기획, 의료기기연구, 자금관리, 브랜딩, 수출입계약, 약무보조, 중국어, PM, 서버관리, 영업전략, 재무분석, 장비영업, 재무회계, 구매계약, 매출관리, 바이어개발, 사업기획, 설치, 영어, 장비영업, 미생물, 기업회계, 사내변호사, 컴플라이언스, RA, UI·UX기획, 결산, 기타외국어, 문서작성, 문서작성, 식품영업, 재무기획, 제약, R&D, 특허담당, 고객관리, 매출관리, 생명공학, 제품개발, 전략기획, 의약외품연구, 거래처관리, 시장분석, 자재구매, 데이터분석, 컴플라이언스, 특허담당, 의료기기, 의약사무, 사내변호사, 납품영업, 문서관리, 생명공학, 외자구매, 자산관리, 제약·바이오R&D, 법인결산, 서비스기획, 식품영업, 약사, 자산관리, 재무기획, 회계감사, 경영기획, 문서관리, 유지보수, 일본어, 지적재산권, 상표담당, 국내영업",신입·경력1년↑,대졸↑,경기,정규직,,,
26,"[SPC삼립] 부문별 경력직 모집 (마케팅 전략,언론홍보,디자인,산업안전,공무,생산)",/Recruit/GI_Read/42973804?rPageCode=PL&logpath=21,SPC삼립,"['경력', '초대졸↑', '경기부천시외', '정규직']","고객관리, 관리회계, ERP운용, 기업홍보, 디지털마케팅, 복리후생, SI개발, 거래처관리, 펌웨어, 더존, 식품MD, 유지보수, 품질보증, 프로모션, 영업기획, 프랜차이즈, 프로모션, 검증, 브랜딩, 서버구축, 시스템운영, 영업전략, 가맹점관리, 재무회계, 정보통신·IT, HACCP, 오프라인마케팅, 제휴마케팅, 매출관리, 방화벽, 베이커리, 시스템분석, 정보보안, 기업회계, 거래선개발관리, 매출관리, 바이럴마케팅, 키워드광고, 조직문화, 클라이언트, 고객관리, 매출관리, 보안관제, 산업안전, 상품기획, 시스템설계, 면접·채용, 평가·보상, 콘텐츠기획, 거래처관리, 교육기획, 대리점관리, 메뉴개발, 시장분석, 데이터분석, 기업홍보, 브랜드기획, 이벤트기획, 전략기획, SNS마케팅, 급여관리, 네트워크관리, 정보보안, 정보통신, 프로모션, 안전평가, 이벤트기획, 인사행정, 패밀리레스토랑, 식품가공, 양식당, 인사기획, ISO, 제빵사, 서버관리, 네트워크관리, 환경관리, 가맹영업, 배너광고, 인사교육, 원가회계, 전산회계, ERP운용, 데이터분석",경력,초대졸↑,경기부천시외,정규직,,,
27,2023 하반기 분야별 대학 교직원 채용,/Recruit/GI_Read/42974673?rPageCode=PL&logpath=21,인천재능대학교,"['신입·경력', '대졸↑', '인천동구외', '계약직', '사원급']","전산입력, 전산입력, GUI, 사이트관리, 대학교, 행정, 행정, 데이터분석, 영상제작, 자료조사, SNS마케팅, 비품관리, 문서관리, 대학(교)교직원, 교육행정, 사이트관리, SNS마케팅, 베이커리, 문서작성, 문서작성, 웹마스터, 콘텐츠기획, SNS마케팅, 서무, SNS마케팅, 문서관리, 반응형웹, 자산관리, 제빵사, 문서관리, 교육행정, 서무",신입·경력,대졸↑,인천동구외,계약직,사원급,,
28,[업계최고우대] ORACLE 데이터베이스 엔지니어 경력 채용(오라클 DBA),/Recruit/GI_Read/42974981?rPageCode=PL&logpath=21,에이텍정보통신㈜,"['경력4년↑', '초대졸↑', '서울영등포구', '정규직', '5,000~6,500만원']","Migration, DBMS, ETL, Oracle DB 설치, Oracle, 데이터마이닝, upgrade, 데이터파이프라인",경력4년↑,초대졸↑,서울영등포구,정규직,"5,000~6,500만원",,
29,[ATTO] 솔루션 개발자 채용,/Recruit/GI_Read/42974012?rPageCode=PL&logpath=21,아토리서치㈜,"['경력3년↑', '대졸↑', '서울서초구', '정규직']","솔루션, 오픈스택, 솔루션, django, 가상화인프라, spring boot, 클라우드, 소프트웨어개발, 솔루션 개발, 웹UI 백엔드 개발, Backend",경력3년↑,대졸↑,서울서초구,정규직,,,
30,"2023년 딕스코리아(DEEX KOREA)회계 컨설턴트/DX엔지니어 신입,경력직 공채",/Recruit/GI_Read/42971162?rPageCode=PL&logpath=21,㈜딕스코리아,"['신입·경력', '학력무관', '서울금천구', '정규직']","관리회계, 빅데이터, 데이터레이크, DW, 솔루션, 세무신고, ETL, 서버구축, 시스템운영, 세무조정, 시스템운영, BI, 시스템엔지니어링, 시스템분석, Apps, Microsoft, Platform, 네트워크관리, 시스템설계, ERP, microsoft 365, 서버구축, 컴퓨터공학, 경영컨설팅, 네트워크관리, automate, 데이터파이프라인, 원가회계, 전산회계, ERP운용",신입·경력,학력무관,서울금천구,정규직,,,
31,㈜푸드테크 IT부문 델파이 개발자 채용,/Recruit/GI_Read/42971399?rPageCode=PL&logpath=21,㈜푸드테크,"['신입·경력', '서울강남구', '정규직']","GUI, 인터페이스, SI개발, 암호화폐, 서버관리, 챗봇, SI개발, 증강현실, 인터페이스, 델파이, 반응형웹, 음성인식, 클라이언트, 핀테크, 소프트웨어개발, 가상현실, 핀테크, HTTP, 메타버스",신입·경력,서울강남구,정규직,,,,
32,[비드코칭]에서 함께 성장할 [PHP 풀스택 개발자]를 모십니다,/Recruit/GI_Read/42973388?rPageCode=PL&logpath=21,비드코칭연구소㈜,"['신입·경력1년↑', '초대졸↑', '대전중구외', '정규직', '3,300~4,000만원', '사원급외']","GUI, SI개발, 서버관리, 인터페이스, 반응형웹, 클라이언트, 핀테크, HTTP",신입·경력1년↑,초대졸↑,대전중구외,정규직,"3,300~4,000만원",사원급외,
33,[코드블럭㈜] 감각있는 웹디자이너 채용(신입/경력),/Recruit/GI_Read/42969531?rPageCode=PL&logpath=21,코드블럭㈜,"['신입·경력', '초대졸↑', '경기성남시외', '정규직', '사원급외']","CI, 웹표준·웹접근성, UI·UX기획, GUI, GUI, 솔루션, Sign디자인, CG, 모바일디자인, 2D디자인, 모바일디자인, 반응형웹, 앱기획, UI·UX기획, GUI, UI·UX기획, 소프트웨어개발",신입·경력,초대졸↑,경기성남시외,정규직,사원급외,,
34,Runday를 함께 개발할 동료를 모집합니다.,/Recruit/GI_Read/42974317?rPageCode=PL&logpath=21,㈜땀,"['신입·경력', '학력무관', '서울서초구', '정규직', '사원급외']","인터페이스, 모바일, 모바일App, 앱기획, SI개발, UI·UX기획, 콘텐츠기획, 스토리보드, 서비스기획",신입·경력,학력무관,서울서초구,정규직,사원급외,,
35,PHP 개발자 / JAVA/JSP 개발자 / 웹퍼블리셔 / 웹 기획 / 사업기획 부문 경력직 채용,/Recruit/GI_Read/42972227?rPageCode=PL&logpath=21,㈜리로소프트,"['경력3년↑', '학력무관', '서울구로구', '정규직']","모바일앱개발, 소프트웨어개발, 솔루션, SI, 사업기획, 신사업기획, 연구기획, 전략기획, 서비스기획, 스토리보드, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, UI·UX기획, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 웹마스터, 반응형웹, 웹표준·웹접근성",경력3년↑,학력무관,서울구로구,정규직,,,
36,[네오바이오텍] 시스템개발팀 경력직 채용,/Recruit/GI_Read/42966549?rPageCode=PL&logpath=21,㈜네오바이오텍,"['경력10년↑', '초대졸↑', '강원원주시', '정규직']","서버구축, 시스템분석, 시스템설계, 서버관리, 네트워크관리",경력10년↑,초대졸↑,강원원주시,정규직,,,
37,"주5일/식사제공/신입,초보가능/주말,연장,야근X/칼퇴/워라벨/김포/쉬운 A/S설치기술지원",/Recruit/GI_Read/42981849?rPageCode=PL&logpath=2,㈜아이에스지산업,"['경력무관', '학력무관', '경기김포시외', '정규직외', '', '2,683~2,700만원']","전산입력, 사이트관리, A·S수리, 기술지원, 전자, 문서관리, 시스템운영, 설치, 시스템분석, 문서작성, 자산관리, 전기, 네트워크관리, 유지보수",경력무관,학력무관,경기김포시외,정규직외,,"2,683~2,700만원",
38,(주)왓치캅  의정부 포천 통신(무인) 및 CCTV 설치 A/S기사 모집,/Recruit/GI_Read/42981410?rPageCode=PL&logpath=2,㈜왓치캅,"['신입·경력', '학력무관', '경기포천시외', '정규직', '주임~대리급']","A·S수리, CCTV, 네트웍구축, 무선통신, 설치, 보안관제, 정보보안, 정보통신, 통신, 유비쿼터스, 유지보수",신입·경력,학력무관,경기포천시외,정규직,주임~대리급,,
39,[강남구/논현동] 논현 LG 데이터센터 시스템관제 모니터링(OP)직원모집,/Recruit/GI_Read/42981437?rPageCode=PL&logpath=2,㈜에이치앤엠,"['신입·경력1년↑', '고졸↑', '서울강남구외', '정규직외', '', '사원급외']","시스템운영, 시스템모니터링(OP), 보안관제, 네트워크관리, 정보보안, IDC, 서버관리, 네트워크관리, 유지보수",신입·경력1년↑,고졸↑,서울강남구외,정규직외,,사원급외,
40,(주)왓치캅 통신(무인) 및 CCTV 설치 A/S기사 모집,/Recruit/GI_Read/42981411?rPageCode=PL&logpath=2,㈜왓치캅,"['신입·경력', '학력무관', '서울양천구외', '정규직', '주임~대리급']","A·S수리, CCTV, 네트웍구축, 무선통신, 설치, 보안관제, 정보보안, 정보통신, 통신, 유비쿼터스, 유지보수",신입·경력,학력무관,서울양천구외,정규직,주임~대리급,,
41,"[Apple(애플) 일산 킨텍스점/제품수리 및 상담/연봉2,600만-2,800만] - 서비스센터 엔지니어 모집",/Recruit/GI_Read/42981075?rPageCode=PL&logpath=2,㈜인커넥트,"['경력무관', '학력무관', '경기고양시외', '정규직']","이동통신, 검증, A·S수리, 기술지원, 시스템설계, 하드웨어, 무선통신, 설치, 시스템분석, 펌웨어, 정보통신, 컴퓨터, AS, 유지보수, 유지보수",경력무관,학력무관,경기고양시외,정규직,,,
42,[Apple서비스센터(부천)/애플제품 수리및상담/10월말 청라센터이전] - 서비스센터 엔지니어 모집,/Recruit/GI_Read/42981073?rPageCode=PL&logpath=2,㈜인커넥트,"['경력무관', '학력무관', '경기부천시외', '정규직']","이동통신, A·S수리, 기술지원, 테스터, 하드웨어, 무선통신, 설치, 정보통신, 위성통신, 컴퓨터, AS, 검증, 유지보수, 유지보수",경력무관,학력무관,경기부천시외,정규직,,,
43,[2개월/단기] 데이터 라벨링(전산입렵) 단순 업무 [신입가능],/Recruit/GI_Read/42980687?rPageCode=PL&logpath=2,㈜비전잡,"['신입', '고졸↑', '서울강남구외', '프리랜서', '210만원이상(월)']","전산입력, 빅데이터, 전산관리, 문서작성, Helpdesk, 전산유지보수, 유지보수",신입,고졸↑,서울강남구외,프리랜서,210만원이상(월),,
